nome_geografico	latitude	longitude	sigla_categoria	nm_classe	sigla_unid_federacao
Canal	-22.872	-42.0115	AER	pista_ponto_pouso	RJ
Amarras	-22.7753	-41.9022	AER	pista_ponto_pouso	RJ
Aerodromo Aguas Frias	-27.2161	-53.2754	AER	pista_ponto_pouso	RS
Aerodromo Severino Lopes	-6.01841	-35.2436	AER	pista_ponto_pouso	RN
Aerodromo Fazenda Canel	-7.53421	-44.8212	AER	pista_ponto_pouso	PI
Aerodromo Fazenda Santa Lidia	-20.7223	-53.6877	AER	pista_ponto_pouso	MS
Aerodromo Fazenda Uniao	-19.2929	-52.0596	AER	pista_ponto_pouso	MS
Fazenda Jamaica	-22.1886	-50.2741	AER	pista_ponto_pouso	SP
Aerodromo Fazenda Anhumas	-22.122	-52.1982	AER	pista_ponto_pouso	SP
Aerodromo Fazenda Santa Maria	-22.2898	-52.2551	AER	pista_ponto_pouso	SP
Aerodromo Fazenda Vassoural	-21.0736	-48.0322	AER	pista_ponto_pouso	SP
HSBC	-25.5031	-49.2806	AER	pista_ponto_pouso	PR
Aerodromo Maracaju	-21.6337	-55.1446	AER	pista_ponto_pouso	MS
Aerodromo Fazenda Jacare	-21.5028	-53.967	AER	pista_ponto_pouso	MS
Aerodromo Fazenda Nossa Senhora de Fatima	-21.5398	-52.1112	AER	pista_ponto_pouso	MS
Aerodromo Fazenda Guanabara	-21.1208	-54.4464	AER	pista_ponto_pouso	MS
Aerodromo Fazenda Progresso	-21.5157	-57.6908	AER	pista_ponto_pouso	MS
Aerodromo Fazenda Agua Turva	-22.1238	-57.1035	AER	pista_ponto_pouso	MS
Aerodromo Fazenda Fittipaldi Citrus	-21.8547	-48.2948	AER	pista_ponto_pouso	SP
Aerodromo Elisa Camargo de Arruda Botelho	-22.3564	-51.1015	AER	pista_ponto_pouso	SP
Aerodromo Fazenda Serrinha	-20.662	-52.3399	AER	pista_ponto_pouso	MS
Aerodromo Fazendas Reunidas Schlatter	-18.8081	-52.5992	AER	pista_ponto_pouso	MS
Aerodromo Fazenda Posses do Rio Grande	-20.2948	-48.9853	AER	pista_ponto_pouso	SP
Aerodromo Fazenda e Haras Bela Vista	-22.4368	-48.4032	AER	pista_ponto_pouso	SP
Aerodromo Agropastoril Monte Alegre	-21.3572	-46.2518	AER	pista_ponto_pouso	MG
Aerodromo Fazenda Bebida Velha	-5.29778	-35.5354	AER	pista_ponto_pouso	RN
Aero Agricola Fulanete	-11.8476	-46.2745	AER	pista_ponto_pouso	BA
Hospital Estadual de Pronto Socorro	-7.1157	-34.8426	AER	pista_ponto_pouso	PB
Aerodromo Fazenda Progresso	-7.50256	-44.2024	AER	pista_ponto_pouso	PI
da Praia	-22.774	-41.8898	AER	pista_ponto_pouso	RJ
Aerodromo Fazenda Bacuri	-8.37789	-46.4408	AER	pista_ponto_pouso	MA
Aerodromo Capinopolis - Aviacao Agricola Buttarello LTDA	-18.6594	-49.5476	AER	pista_ponto_pouso	MG
Fazenda Goiabeira	-23.9899	-49.1797	AER	pista_ponto_pouso	SP
Aerodromo Fazenda Nossa Senhora da Conceicao	-22.7589	-48.5416	AER	pista_ponto_pouso	SP
Aeroporto Santa Rita de Cassia	-10.9891	-44.515	AER	pista_ponto_pouso	BA
Aerodromo Armando Natali	-21.6235	-48.3515	AER	pista_ponto_pouso	SP
Aerodromo Fazenda Cacadinha	-21.6143	-54.7955	AER	pista_ponto_pouso	MS
Aerodromo Fazenda Mateira	-20.9621	-53.0703	AER	pista_ponto_pouso	MS
Aeroporto Municipal Coromandel	-18.4806	-47.2246	AER	pista_ponto_pouso	MG
Aerodromo Fazenda Sao Roque	-21.6603	-49.1643	AER	pista_ponto_pouso	SP
Aerodromo Fazenda Jota III	-19.3306	-51.9711	AER	pista_ponto_pouso	MS
Aerodromo Fazenda Ribeirao	-19.6102	-53.496	AER	pista_ponto_pouso	MS
Banaer de Jacupiranga	-24.7097	-48.023	AER	pista_ponto_pouso	SP
Aerodromo Fazenda Anhumas II	-22.043	-52.2869	AER	pista_ponto_pouso	SP
Aeroporto Jardim	-21.493	-56.1523	AER	pista_ponto_pouso	MS
Aerodromo Fazenda Celeiro	-21.5455	-54.6619	AER	pista_ponto_pouso	MS
Aerodromo Soco	4.47	-60.1769	AER	pista_ponto_pouso	RR
Aerodromo Fazenda Palmital	-20.6979	-48.2862	AER	pista_ponto_pouso	SP
Aerodromo Catanduva	-21.1497	-48.9893	AER	pista_ponto_pouso	SP
Aerodromo Fazenda Sao Francisco	-20.5681	-50.2253	AER	pista_ponto_pouso	SP
Associacao Recreativa Fazenda Bonanza	-23.6876	-47.5576	AER	pista_ponto_pouso	SP
